Designator,Val,Package,MidX,MidY,Rotation,Layer
R35,5.7k,R_0603_1608Metric,246.063,-160.782,180,bottom
R36,5.7k,R_0603_1608Metric,220.726,-164.147,90,bottom
R37,5.7k,R_0603_1608Metric,246.825,-157.734,180,bottom
R38,5.7k,R_0603_1608Metric,234.696,-134.811,-90,bottom
R39,5.7k,R_0603_1608Metric,245.618,-151.638,180,bottom
R40,5.7k,R_0603_1608Metric,238.76,-136.906,-90,bottom
R41,5.7k,R_0603_1608Metric,268.478,-134.112,-90,bottom
R42,5.7k,R_0603_1608Metric,268.732,-167.894,90,bottom
R43,5.7k,R_0603_1608Metric,263.906,-136.843,-90,bottom
R44,5.7k,R_0603_1608Metric,255.715,-148.844,0,bottom
R45,5.7k,R_0603_1608Metric,283.972,-163.322,180,bottom
R46,5.7k,R_0603_1608Metric,255.715,-155.956,0,bottom
R47,5.7k,R_0603_1608Metric,286.829,-159.258,180,bottom
R48,5.7k,R_0603_1608Metric,273.558,-133.795,-90,bottom
R49,5.7k,R_0603_1608Metric,288.036,-154.94,180,bottom
R50,5.7k,R_0603_1608Metric,278.638,-134.557,-90,bottom
R51,5.7k,R_0603_1608Metric,308.864,-134.557,-90,bottom
R52,5.7k,R_0603_1608Metric,306.832,-166.307,-90,bottom
R53,5.7k,R_0603_1608Metric,305.054,-135.827,-90,bottom
R54,5.7k,R_0603_1608Metric,297.18,-149.352,180,bottom
R55,5.7k,R_0603_1608Metric,314.96,-167.195,90,bottom
R56,5.7k,R_0603_1608Metric,302.006,-165.545,90,bottom
R57,5.7k,R_0603_1608Metric,320.294,-165.862,90,bottom
R58,5.7k,R_0603_1608Metric,315.468,-134.366,-90,bottom
R59,5.7k,R_0603_1608Metric,323.596,-158.496,90,bottom
R60,5.7k,R_0603_1608Metric,319.786,-136.652,-90,bottom
R61,2.2k,R_0603_1608Metric,216.408,-130.048,-90,bottom
R62,2.2k,R_0603_1608Metric,218.44,-130.048,-90,bottom
U1,PCA9685PW,TSSOP-28_4.4x9.7mm_P0.65mm,131,-136,90,bottom
U2,PCA9685PW,TSSOP-28_4.4x9.7mm_P0.65mm,171,-136,90,bottom
U3,PCA9685PW,TSSOP-28_4.4x9.7mm_P0.65mm,251,-136,90,bottom
U4,PCA9685PW,TSSOP-28_4.4x9.7mm_P0.65mm,291,-136,90,bottom
D1,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,101.6,-160.278094,-45,top
D2,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,101.6,-142.24,-135,top
D3,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,120.396,-142.24,135,top
D4,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,120.396,-160.278094,45,top
D5,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,141.458089,-160.278094,-45,top
D6,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,141.458089,-142.24,-135,top
D7,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,160.528,-142.24,135,top
D8,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,160.528,-160.278094,45,top
D9,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,181.61,-160.278094,-45,top
D10,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,181.61,-142.24,-135,top
D11,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,200.406,-142.24,135,top
D12,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,200.406,-160.278094,45,top
D13,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,221.483906,-160.278094,-45,top
D14,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,221.483906,-142.24,-135,top
D15,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,240.264089,-142.24,135,top
D16,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,240.264089,-160.278094,45,top
D17,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,261.600089,-160.278094,-45,top
D18,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,261.600089,-142.24,-135,top
D19,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,280.420094,-142.24,135,top
D20,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,280.420094,-160.278094,45,top
D21,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,301.478089,-160.278094,-45,top
D22,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,301.478089,-142.24,-135,top
D23,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,320.274089,-142.24,135,top
D24,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,320.274089,-160.278094,45,top
